"Obs. Date","Obs. value","Series key","Indicator title","Units","Obs. status"
"2005-01","116.97","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2005-02","96.16","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2005-03","94.98","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2005-04","90.74","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2005-05","89.76","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2005-06","91.69","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2005-07","95.06","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2005-08","89.36","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2005-09","100.59","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2005-10","84.75","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2005-11","82.06","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2005-12","85.33","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2006-01","95.33","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2006-02","78.52","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2006-03","87.85","MIR.M.U2.B.L24.A.B.A.2230.EUR.N","Repos","EUR billions","A"
"2013-08","65.46","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2013-09","67.40","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2013-10","76.51","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2013-11","67.91","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2013-12","68.78","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2014-01","81.82","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2014-02","67.31","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2014-03","66.90","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2014-04","70.77","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2014-05","67.13","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2014-05","18.21","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2014-09","7.78","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2014-10","8.47","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2007-07","2.59","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2007-08","1.75","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2007-09","1.52","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2007-10","1.51","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2007-11","1.07","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2007-12","1.63","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-01","1.38","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-02","1.11","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-03","0.85","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-04","0.83","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-05","0.68","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-06","1.52","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-07","0.95","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-08","0.66","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-09","1.02","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-10","0.98","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-11","0.97","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2008-12","1.57","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2009-01","2.48","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2009-02","2.67","MIR.M.U2.B.L22.H.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - over 2yrs","EUR billions","A"
"2006-05","189.83","MIR.M.U2.B.L22.F.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-06","192.58","MIR.M.U2.B.L22.F.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-07","174.89","MIR.M.U2.B.L22.F.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-08","185.75","MIR.M.U2.B.L22.F.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-09","186.74","MIR.M.U2.B.L22.F.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-10","216.18","MIR.M.U2.B.L22.F.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-11","208.13","MIR.M.U2.B.L22.F.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - up to 1yr","EUR billions","A"
"2006-12","213.77","MIR.M.U2.B.L22.F.B.A.2240.EUR.N","From non-financial corporations - With an agreed maturity - up to 1yr","EUR billions","A"
